cancer.csv
Misclassification error
max_depth:  1  |  accuracy:  0.9035087719298246
max_depth:  2  |  accuracy:  0.8947368421052632
max_depth:  3  |  accuracy:  0.9035087719298246
max_depth:  4  |  accuracy:  0.9035087719298246
> max_depth:  5  |  accuracy:  0.9122807017543859
max_depth:  6  |  accuracy:  0.9122807017543859
max_depth:  7  |  accuracy:  0.9122807017543859
max_depth:  8  |  accuracy:  0.9122807017543859
max_depth:  9  |  accuracy:  0.9122807017543859
max_depth:  10  |  accuracy:  0.9122807017543859
Entropy
max_depth:  1  |  accuracy:  0.8947368421052632
max_depth:  2  |  accuracy:  0.9035087719298246
max_depth:  3  |  accuracy:  0.8771929824561403
> max_depth:  4  |  accuracy:  0.9210526315789473
max_depth:  5  |  accuracy:  0.9210526315789473
max_depth:  6  |  accuracy:  0.9210526315789473
max_depth:  7  |  accuracy:  0.9210526315789473
max_depth:  8  |  accuracy:  0.9210526315789473
max_depth:  9  |  accuracy:  0.9210526315789473
max_depth:  10  |  accuracy:  0.9210526315789473
Gini index
max_depth:  1  |  accuracy:  0.8771929824561403
> max_depth:  2  |  accuracy:  0.9210526315789473
max_depth:  3  |  accuracy:  0.9035087719298246
max_depth:  4  |  accuracy:  0.9035087719298246
max_depth:  5  |  accuracy:  0.8947368421052632
max_depth:  6  |  accuracy:  0.8947368421052632
max_depth:  7  |  accuracy:  0.8947368421052632
max_depth:  8  |  accuracy:  0.8947368421052632
max_depth:  9  |  accuracy:  0.8947368421052632
max_depth:  10  |  accuracy:  0.8947368421052632

spam.csv
Misclassification error
max_depth:  1  |  accuracy:  0.7730727470141151
max_depth:  2  |  accuracy:  0.8425624321389794
max_depth:  3  |  accuracy:  0.8827361563517915
max_depth:  4  |  accuracy:  0.9022801302931596
max_depth:  5  |  accuracy:  0.9087947882736156
max_depth:  6  |  accuracy:  0.9077090119435396
> max_depth:  7  |  accuracy:  0.9098805646036916
max_depth:  8  |  accuracy:  0.9077090119435396
max_depth:  9  |  accuracy:  0.9066232356134636
max_depth:  10  |  accuracy:  0.9022801302931596
Entropy
max_depth:  1  |  accuracy:  0.7850162866449512
max_depth:  2  |  accuracy:  0.8121606948968513
max_depth:  3  |  accuracy:  0.8740499457111836
max_depth:  4  |  accuracy:  0.8990228013029316
max_depth:  5  |  accuracy:  0.9033659066232356
max_depth:  6  |  accuracy:  0.9066232356134636
max_depth:  7  |  accuracy:  0.9163952225841476
max_depth:  8  |  accuracy:  0.9250814332247557
> max_depth:  9  |  accuracy:  0.9261672095548317
max_depth:  10  |  accuracy:  0.9229098805646037
Gini index
max_depth:  1  |  accuracy:  0.7763300760043431
max_depth:  2  |  accuracy:  0.8631921824104235
max_depth:  3  |  accuracy:  0.8870792616720955
max_depth:  4  |  accuracy:  0.8990228013029316
max_depth:  5  |  accuracy:  0.9077090119435396
max_depth:  6  |  accuracy:  0.9055374592833876
> max_depth:  7  |  accuracy:  0.9207383279044516
max_depth:  8  |  accuracy:  0.9207383279044516
max_depth:  9  |  accuracy:  0.9174809989142236
max_depth:  10  |  accuracy:  0.9185667752442996
